put	155	781
put	338	878
put	601	725
put	82	891
put	288	876
put	609	194
put	113	150
put	139	896
put	80	942
put	669	682
put	777	328
put	391	795
put	710	217
put	474	752
put	777	382
put	884	563
put	66	522
put	142	534
put	919	212
put	274	973
put	73	704
put	125	797
put	501	499
put	762	625
put	274	937
put	234	256
put	698	126
put	738	118
put	40	127
put	124	496
put	717	14
put	876	939
put	321	927
put	289	602
put	899	802
put	941	238
put	717	41
put	612	820
put	685	450
put	676	603
put	481	398
put	279	212
put	477	206
put	903	147
put	734	620
put	582	792
put	891	279
put	501	187
put	424	673
put	10	248
get	10	248
out
