put	528	684
put	951	221
put	376	689
put	908	573
put	5	161
put	75	536
put	339	327
put	840	911
put	312	555
put	619	830
put	521	719
put	985	28
put	260	154
put	707	873
put	625	348
put	383	473
put	530	363
put	857	439
put	721	202
put	901	594
put	842	783
put	61	855
put	366	333
put	404	284
put	730	898
put	78	206
put	391	691
put	540	960
put	4	331
put	714	156
put	581	989
put	598	819
put	11	377
put	526	42
put	570	581
put	762	271
put	216	532
put	690	121
put	311	373
put	89	337
put	483	30
put	740	676
put	343	601
put	709	699
put	655	984
put	513	929
put	938	896
put	74	54
put	678	591
put	913	601
